Thread_count,Time_taken,Performance
1,7.681307,349.972993
2,4.33293,620.423132
3,3.351971,801.990829
4,3.001517,895.630443
5,2.923166,919.636449
6,3.047094,882.234024
7,3.14773,854.028141
8,3.343897,803.927274
9,3.525568,762.501248
10,3.723969,721.877653
11,3.967476,677.571837
12,4.300764,625.063361
13,4.71775,569.81612
14,4.825343,557.110655
15,4.953697,542.675501
16,5.256321,511.431855
17,5.546069,484.712686
18,5.921784,453.959482
19,6.006506,447.556366
20,6.461329,416.052178
21,6.776722,396.688842
22,7.203901,373.165872
23,7.503384,358.271681
24,7.725766,347.959024
25,8.002722,335.916954
26,8.192873,328.120551
27,8.423705,319.129172
28,8.90795,301.780993
29,9.548922,281.523925
30,9.459568,284.183168
31,9.830664,273.455588
32,10.158093,264.641208
